_date,total_clones,unique_clones
2022-03-16,7,6
2022-03-21,2,2
2022-03-28,1,1
2022-04-02,2,1
2022-04-03,1,1
2022-04-04,3,3
2022-04-11,2,2
2022-04-18,2,2
2022-04-25,3,2
2022-05-02,5,5
2022-05-09,1,1
2022-05-16,4,4
2022-05-21,2,1
2022-05-22,1,1
2022-05-23,2,2
2022-05-30,4,4
2022-06-02,3,2
2022-06-06,1,1
2022-06-13,4,3
2022-06-20,4,4
2022-06-23,1,1
2022-06-26,2,1
2022-06-27,2,2
2022-07-04,2,2
2022-07-05,2,1
2022-07-11,3,3
2022-07-13,2,1
2022-07-18,2,2
2022-07-22,2,1
2022-07-23,2,1
2022-07-24,1,1
2022-07-25,2,2
2022-07-31,2,1
2022-08-01,3,3
2022-08-02,1,1
2022-08-08,3,2
2022-08-09,2,1
2022-08-15,3,3
2022-08-19,3,2
2022-08-22,2,2
2022-08-28,1,1
2022-08-29,2,2
2022-08-30,2,1
2022-09-05,1,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-19,3,3
2022-09-23,1,1
2022-09-24,1,1
2022-09-26,1,1
2022-10-03,2,2
2022-10-04,1,1
2022-10-10,2,2
2022-10-16,1,1
2022-10-17,2,2
2022-10-22,2,2
2022-10-24,1,1
2022-10-28,1,1
2022-10-31,1,1
2022-11-05,1,1
2022-11-07,3,3
2022-11-11,1,1
2022-11-14,2,2
2022-11-15,1,1
2022-11-18,1,1
2022-11-21,2,2
2022-11-25,1,1
2022-11-28,1,1
2022-12-02,1,1
2022-12-05,1,1
2022-12-07,2,1
2022-12-09,2,2
2022-12-12,2,2
2022-12-16,1,1
